Gene Names (primary)	Gene Names (synonym)	Subcellular location [CC]
Nle1		SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250}.
Vps4a		SUBCELLULAR LOCATION: Late endosome membrane {ECO:0000269|PubMed:12594041}; Peripheral membrane protein {ECO:0000305|PubMed:12594041}. Midbody {ECO:0000250|UniProtKB:Q9UN37}. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:Q9UN37}. Note=Membrane-associated in the prevacuolar endosomal compartment. Localizes to the midbody of dividing cells, interaction with ZFYVE19/ANCHR mediates retention at midbody. Localized in two distinct rings on either side of the Flemming body (By similarity). {ECO:0000250|UniProtKB:Q9UN37}.
Cdc50a	D9Wsu20e Tmem30a	SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:22253360}; Multi-pass membrane protein {ECO:0000269|PubMed:22253360}. Cell membrane {ECO:0000250}. Golgi apparatus {ECO:0000269|PubMed:22253360}. Cytoplasmic vesicle, secretory vesicle membrane {ECO:0000269|PubMed:22253360}. Apical cell membrane {ECO:0000269|PubMed:22253360}.
Rhbdd2	Rhbdl7	SUBCELLULAR LOCATION: Golgi apparatus, cis-Golgi network membrane {ECO:0000269|PubMed:23386608}; Multi-pass membrane protein {ECO:0000269|PubMed:23386608}.
Hnrnpu	Hnrpu	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18332112, ECO:0000269|PubMed:22162999}. Nucleus matrix {ECO:0000250|UniProtKB:Q00839}. Chromosome {ECO:0000269|PubMed:20833368}. Nucleus speckle {ECO:0000250|UniProtKB:Q00839}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q00839}. Chromosome, centromere, kinetochore {ECO:0000250|UniProtKB:Q00839}. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:Q00839}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000250|UniProtKB:Q00839}. Midbody {ECO:0000250|UniProtKB:Q00839}. Cytoplasm {ECO:0000250|UniProtKB:Q00839}. Cell surface {ECO:0000250|UniProtKB:Q00839}. Cytoplasmic granule {ECO:0000250|UniProtKB:Q00839}. Note=Localizes at inactive X chromosome (Xi) regions (PubMed:20833368). Localizes in the nucleus during interphase. At metaphase, localizes with mitotic spindle microtubules (MTs). At anaphase, localizes in the mitotic spindle midzone. Localizes in spindle MTs proximal to spindle poles in a TPX2- and AURKA-dependent manner. The Ser-58 phosphorylated form localizes to centrosomes during prophase and metaphase, to mitotic spindles in anaphase and to the midbody during cytokinesis (By similarity). Colocalizes with SMARCA4 in the nucleus (PubMed:22162999). Colocalizes with CBX5 in the nucleus. Colocalizes with NR3C1 in nuclear speckles. Localized in cytoplasmic ribonucleoprotein (RNP) granules containing untranslated mRNAs (By similarity). {ECO:0000250|UniProtKB:Q00839, ECO:0000269|PubMed:20833368, ECO:0000269|PubMed:22162999}.
Ing3		SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
Rnf130	G1rp	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}. Cytoplasm {ECO:0000250|UniProtKB:Q86XS8}.
Plet1		SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000269|PubMed:20130590}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:20130590}. Note=Localized at the apical membrane of the most differentiated keratinocytes of the outer root sheath (ORS), clustered mainly in planar regions of the plasma membrane at the base of microvilli.
Or4m1	Olfr734	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:31230984}; Multi-pass membrane protein {ECO:0000255|RuleBase:RU363047}.
Or5ar1	Mor180-1 Olfr1019	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:29659735}; Multi-pass membrane protein {ECO:0000255}.
Hdac8		SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9BY41}. Chromosome {ECO:0000250|UniProtKB:Q9BY41}. Cytoplasm {ECO:0000250|UniProtKB:Q9BY41}. Note=Excluded from the nucleoli. Found in the cytoplasm of cells showing smooth muscle differentiation. {ECO:0000250|UniProtKB:Q9BY41}.
Rbm39	Caper Rnpc2	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Ca9	Car9	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q16790}. Nucleus, nucleolus {ECO:0000250|UniProtKB:Q16790}. Cell membrane {ECO:0000250|UniProtKB:Q16790}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q16790}. Cell projection, microvillus membrane {ECO:0000250|UniProtKB:Q16790}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q16790}. Note=Found on the surface microvilli and in the nucleus, particularly in nucleolus. {ECO:0000250|UniProtKB:Q16790}.
Selenom		SUBCELLULAR LOCATION: Cytoplasm, perinuclear region {ECO:0000269|PubMed:11839807}. Endoplasmic reticulum {ECO:0000305|PubMed:11839807}. Golgi apparatus {ECO:0000305|PubMed:11839807}. Note=Localized to perinuclear structures corresponding to Golgi and endoplasmic reticulum.
Cabp4		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P57796}. Presynapse {ECO:0000269|PubMed:15452577}. Note=Found in rod spherules and cone pedicles of the presynapses from both types of photoreceptors. {ECO:0000269|PubMed:15452577}.
Slc2a10	Glut10	SUBCELLULAR LOCATION: Endomembrane system {ECO:0000250|UniProtKB:O95528}; Multi-pass membrane protein {ECO:0000255}. Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:O95528}.
Hrnr		SUBCELLULAR LOCATION: Cytoplasmic granule. Note=Found in keratohyalin granules of the granular cells of the epidermis.
Sec63	Dnajc23 Sec63l	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Multi-pass membrane protein.
Dnah5	Dnahc5	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, cilium axoneme {ECO:0000269|PubMed:33347437}.
Cdhr5	Mucdhl Mupcdh	SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000250|UniProtKB:Q9HBB8}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q9HBB8}. Cell projection, microvillus membrane {ECO:0000250|UniProtKB:Q9HBB8}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q9HBB8}.
Amot	Kiaa1071	SUBCELLULAR LOCATION: Cell junction, tight junction {ECO:0000250}. Note=Localized on the cell surface. May act as a transmembrane protein (By similarity). {ECO:0000250}.
Obox4		SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00108, ECO:0000269|PubMed:23614109}. Note=Nuclear localization is dependent on its homeobox domain. {ECO:0000269|PubMed:23614109}.
Agap3	Centg3	SUBCELLULAR LOCATION: Cytoplasm. Note=Upon oxidative stress, translocates to PML nuclear bodies. {ECO:0000250}.
Adcy3		SUBCELLULAR LOCATION: Cell membrane {ECO:0000305|PubMed:11055432}; Multi-pass membrane protein {ECO:0000255}. Cell projection, cilium membrane {ECO:0000269|PubMed:11055432, ECO:0000269|PubMed:17924533, ECO:0000269|PubMed:9768837}; Multi-pass membrane protein {ECO:0000255}. Golgi apparatus {ECO:0000250|UniProtKB:P21932}. Cytoplasm {ECO:0000250|UniProtKB:O60266}. Note=Localizes to primary cilium. {ECO:0000269|PubMed:17924533}.
Il25	Il17e	SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:Q9H293}.
Pofut2		SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000250|UniProtKB:Q9Y2G5}. Golgi apparatus {ECO:0000250|UniProtKB:Q9Y2G5}. Note=Mainly located in the endoplasmic reticulum. {ECO:0000250|UniProtKB:Q9Y2G5}.
Vit	Akh	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:18757743}.
Wasf3	Wave3	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}.
Drc2	Ccdc65	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, flagellum basal body {ECO:0000250|UniProtKB:A8JB22}. Cell projection, cilium, flagellum {ECO:0000250|UniProtKB:A8JB22}. Cytoplasm, cytoskeleton, flagellum axoneme {ECO:0000250|UniProtKB:A8JB22}.
Mark1	Emk3 Kiaa1477	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Cytoplasm {ECO:0000250|UniProtKB:Q9P0L2}. Cell projection, dendrite {ECO:0000250|UniProtKB:Q9P0L2}. Note=Appears to localize to an intracellular network. {ECO:0000250}.
Ppargc1b	Errl1 Pgc1 Pgc1b Ppargc1	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
Mlc1		SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255}. Cell membrane {ECO:0000250|UniProtKB:Q15049}; Multi-pass membrane protein {ECO:0000255}. Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:Q15049}. Endoplasmic reticulum {ECO:0000250|UniProtKB:Q15049}.
Tmprss11d	Mat	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.; SUBCELLULAR LOCATION: [Transmembrane protease serine 11D catalytic chain]: Secreted {ECO:0000250}. Note=Activated by cleavage and secreted. {ECO:0000250}.
Dhx36	Ddx36 Kiaa1488 Mlel1	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9H2U1}. Cytoplasm {ECO:0000250|UniProtKB:Q9H2U1}. Cytoplasm, cytosol {ECO:0000269|PubMed:21703541}. Cytoplasm, Stress granule {ECO:0000250|UniProtKB:Q9H2U1}. Nucleus speckle {ECO:0000250|UniProtKB:Q9H2U1}. Chromosome, telomere {ECO:0000250|UniProtKB:Q9H2U1}. Mitochondrion {ECO:0000269|PubMed:21703541}. Perikaryon {ECO:0000250|UniProtKB:D4A2Z8}. Cell projection, dendrite {ECO:0000250|UniProtKB:D4A2Z8}. Cell projection, axon {ECO:0000250|UniProtKB:D4A2Z8}. Note=Predominantly localized in the nucleus. Colocalizes with SRSF2 in nuclear speckles. Colocalizes with DDX5 in nucleolar caps upon transcription inhibition. Accumulates and colocalized with TIA1 in cytoplasmic stress granules (SGs) in an arsenite-, heat shock- and RNA-binding-dependent manner. Shuttles into and out of SGs in an ATPase-dependent manner (By similarity). Colocalizes in the cytosol with the multi-helicase-TICAM1 complex that translocates to the mitochondria upon poly(I:C) stimulation (PubMed:21703541). {ECO:0000250|UniProtKB:Q9H2U1, ECO:0000269|PubMed:21703541}.
Slc14a1		SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12133842, ECO:0000269|PubMed:15563580}; Multi-pass membrane protein {ECO:0000255}. Basolateral cell membrane {ECO:0000269|PubMed:15563580}; Multi-pass membrane protein {ECO:0000255}. Note=Restricted to the basolateral membrane in various portions of the urothelium. {ECO:0000269|PubMed:15563580}.
Setd7	Kiaa1717 Set7 Set9	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q8WTS6}. Chromosome {ECO:0000250|UniProtKB:Q8WTS6}.
Adgrv1	Gpr98 Kiaa0686 Mass1 Vlgr1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15606908}; Multi-pass membrane protein {ECO:0000269|PubMed:15606908}. Cell projection, stereocilium membrane {ECO:0000269|PubMed:16775142, ECO:0000269|PubMed:17567809, ECO:0000269|PubMed:20502675, ECO:0000269|PubMed:24334608, ECO:0000269|PubMed:27525485}. Photoreceptor inner segment {ECO:0000269|PubMed:20502675, ECO:0000269|PubMed:24334608}. Note=Localizes at the ankle region of the stereocilia (PubMed:16775142, PubMed:27525485). In photoreceptors, localizes at a plasma membrane microdomain in the apical inner segment that surrounds the connecting cilia called periciliary membrane complex (PubMed:20502675, PubMed:24334608). {ECO:0000269|PubMed:16775142, ECO:0000269|PubMed:20502675, ECO:0000269|PubMed:24334608, ECO:0000269|PubMed:27525485}.; SUBCELLULAR LOCATION: [Isoform 4]: Secreted {ECO:0000269|PubMed:15606908}.; SUBCELLULAR LOCATION: [Isoform 5]: Secreted {ECO:0000269|PubMed:15606908}.
Cdhr1	Kiaa1775 Pcdh21 Prcad	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}. Note=Localized at the junction between the inner and outer segments of rod and cone photoreceptors cells. Confined to the base of the OS. Localized on the edges of nascent evaginating disks on the side of the OS opposite the connecting cilium. Expressed at postnatal day 2 at the apical tip of the rod photoreceptor cells, the site of the developing OS. Colocalized with rhodopsin between postnatal days 2 and 9 at the base of the growing OS region. {ECO:0000269|PubMed:11738025, ECO:0000269|PubMed:15284225}.
Rab40b		SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q12829}; Lipid-anchor {ECO:0000250|UniProtKB:Q12829}; Cytoplasmic side {ECO:0000250|UniProtKB:Q12829}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q12829}. Cell projection, lamellipodium membrane {ECO:0000250|UniProtKB:Q12829}. Cell projection, ruffle {ECO:0000250|UniProtKB:Q12829}. Note=Mainly localized in the cytosol. A subpopulation is present at the lamellipodia, where it colocalizes with actin ruffles. Colocalized with RAP2A at the lamellipodia plasma membrane. {ECO:0000250|UniProtKB:Q12829}.
Socs7	Cish7 Nap4	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15242778}. Nucleus {ECO:0000269|PubMed:15242778}. Cell membrane {ECO:0000269|PubMed:15242778}; Peripheral membrane protein {ECO:0000269|PubMed:15242778}; Cytoplasmic side {ECO:0000269|PubMed:15242778}. Note=Mostly cytoplasmic, but shuttles between the cytoplasm and the nucleus. Rapidly relocalizes to the nucleus after UV irradiation. Cytoplasmic location depends upon SEPT7 presence. {ECO:0000250|UniProtKB:O14512}.
Ppp1r16b		SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q96T49}. Cell membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}. Nucleus {ECO:0000250|UniProtKB:Q96T49}. Cell projection {ECO:0000250|UniProtKB:Q96T49}. Note=Colocalizes with RPSA/LAMR1 in the cell membrane (By similarity). Localizes to the perinuclear region (By similarity). Colocalizes with PTEN at the tip of EC projections (By similarity). {ECO:0000250|UniProtKB:Q95N27, ECO:0000250|UniProtKB:Q96T49}.
Rab40c		SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q96S21}. Golgi apparatus membrane {ECO:0000250|UniProtKB:Q96S21}. Note=Mostly localized in the cytosol and also with actin ruffles. {ECO:0000250|UniProtKB:Q96S21}.
Acot11	Bfit Thea	SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000250|UniProtKB:Q8WXI4}. Cytoplasm {ECO:0000250|UniProtKB:Q8WXI4}.
Pcdh18	Kiaa1562	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.
Gatad2b		SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000250|UniProtKB:Q8WXI9}. Nucleus {ECO:0000250|UniProtKB:Q8WXI9}. Chromosome {ECO:0000250|UniProtKB:Q8WXI9}. Note=Speckled nuclear localization requires both CR1 and CR2 regions. Localizes to sites of DNA damage. {ECO:0000250|UniProtKB:Q8WXI9}.
Crb1		SUBCELLULAR LOCATION: [Isoform 1]: Apical cell membrane {ECO:0000269|PubMed:11850625}; Single-pass type I membrane protein {ECO:0000255}. Secreted {ECO:0000305}. Cell projection, cilium, photoreceptor outer segment {ECO:0000269|PubMed:11850625}. Photoreceptor inner segment {ECO:0000269|PubMed:11850625}.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted {ECO:0000269|PubMed:14684155}. Cytoplasm {ECO:0000269|PubMed:14684155}. Cell junction, focal adhesion {ECO:0000269|PubMed:14684155}. Note=Found in the cytoplasmic area of undifferentiated keratinocytes and associated with the plasma membrane at the site of cell-cell contacts and focal adhesion upon keratinocytes differentiation. {ECO:0000269|PubMed:14684155}.
Cacng8		SUBCELLULAR LOCATION: Cell membrane {ECO:0000305|PubMed:21127204, ECO:0000305|PubMed:21172611}; Multi-pass membrane protein {ECO:0000250}. Postsynaptic density membrane {ECO:0000269|PubMed:21172611}.
Flnc	Abpl Fln2	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Cytoplasm, myofibril, sarcomere, Z line {ECO:0000250}. Note=A small amount localizes at membranes. In striated muscle cells, it predominantly localizes in myofibrillar Z lines, while a minor fraction localizes with subsarcolemme (By similarity). Targeting to developing and mature Z lines is mediated by the intradomain insert (By similarity). {ECO:0000250}.
Cspg4	An2 Kiaa4232 Ng2	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12458226}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q00657}; Extracellular side {ECO:0000250|UniProtKB:Q00657}. Apical cell membrane {ECO:0000250|UniProtKB:Q00657}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q00657}; Extracellular side {ECO:0000250|UniProtKB:Q00657}. Cell projection, lamellipodium membrane {ECO:0000250|UniProtKB:Q00657}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q00657}; Extracellular side {ECO:0000250|UniProtKB:Q00657}. Cell surface {ECO:0000250|UniProtKB:Q00657}. Note=Localized at the apical plasma membrane it relocalizes to the lamellipodia of astrocytoma upon phosphorylation by PRKCA. Localizes to the retraction fibers. A fraction may undergo cell surface proteolysis and secretion (By similarity). Localizes to the plasma membrane of oligodendrocytes (PubMed:12458226). {ECO:0000250|UniProtKB:Q00657, ECO:0000269|PubMed:12458226}.
Satb2	Kiaa1034	SUBCELLULAR LOCATION: Nucleus matrix {ECO:0000255|PROSITE-ProRule:PRU00108, ECO:0000255|PROSITE-ProRule:PRU00374}.
Taf9	Taf2g	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
Pxn		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:P49023}. Cell junction, focal adhesion {ECO:0000250|UniProtKB:P49023}. Cytoplasm, cell cortex {ECO:0000269|PubMed:8940124}. Note=Colocalizes with integrins at the cell periphery. Colocalizes with PXN to membrane ruffles and the leading edge of migrating cells (By similarity). {ECO:0000250|UniProtKB:P49023}.
Trim60	2czf45 Rnf33	
Abcc2		SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000250|UniProtKB:Q92887}; Multi-pass membrane protein {ECO:0000255}.
Sorcs3		SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:24069373}; Single-pass type I membrane protein {ECO:0000255}. Synaptic cell membrane {ECO:0000269|PubMed:24069373}; Single-pass type I membrane protein {ECO:0000255}. Postsynaptic density {ECO:0000269|PubMed:24069373}.
Lrp4	Kiaa0816	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:24140340}; Single-pass type I membrane protein {ECO:0000305}.
Mgarp	Cesp1 Hummr Osap	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:19325000, ECO:0000269|PubMed:19528298, ECO:0000269|PubMed:20107910, ECO:0000269|PubMed:24323429}. Mitochondrion outer membrane {ECO:0000269|PubMed:19528298}; Single-pass type IV membrane protein {ECO:0000305|PubMed:19528298}; Cytoplasmic side {ECO:0000305|PubMed:19528298}. Mitochondrion inner membrane {ECO:0000269|PubMed:31202457}; Single-pass type IV membrane protein {ECO:0000305|PubMed:31202457}; Cytoplasmic side {ECO:0000305|PubMed:31202457}. Note=Colocalizes with RHOT1, RHOT2, TRAK1 and TRAK2 at the mitochondrion. {ECO:0000269|PubMed:19528298}.
Sp7	Osx	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11792318}.
Oas3	oasl10	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}.
Oas1d	Oasl8	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15899864}.
Barhl2	Barh1 Mbh1	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00108}.
Recql5		SUBCELLULAR LOCATION: Nucleus, nucleoplasm {ECO:0000250|UniProtKB:O94762}. Note=Recruited to sites of DNA damage, such as single-strand breaks and inter-strand cross-links, and at stalled replication forks. {ECO:0000250|UniProtKB:O94762}.
Slc7a12		SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000269|PubMed:11591708}; Multi-pass membrane protein {ECO:0000255}. Basal cell membrane {ECO:0000269|PubMed:11591708}; Multi-pass membrane protein {ECO:0000255}. Cytoplasm {ECO:0000269|PubMed:11591708}.
Prss42	Tessp2	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23536369}. Cell membrane {ECO:0000269|PubMed:23536369}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:23536369}.
Rest	Nrsf	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15907476, ECO:0000269|PubMed:21284946, ECO:0000269|PubMed:24670762}. Cytoplasm {ECO:0000269|PubMed:24670762}. Note=Colocalizes with ZFP90 in the nucleus (PubMed:21284946). In response to hypoxia, there is a more pronounced increase in levels in the nucleus as compared to the cytoplasm (By similarity). In aging neurons, increased levels in the nucleus as compared to the cytoplasm (By similarity). {ECO:0000250|UniProtKB:Q13127, ECO:0000269|PubMed:21284946}.; SUBCELLULAR LOCATION: [Isoform 2]: Nucleus {ECO:0000250|UniProtKB:Q13127}.
Rsph1	Tsga2	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:9578619}. Chromosome {ECO:0000269|PubMed:9578619}. Cytoplasm, cytoskeleton, cilium axoneme {ECO:0000269|PubMed:32203505, ECO:0000269|PubMed:34871179}. Cytoplasm, cytoskeleton, flagellum axoneme {ECO:0000269|PubMed:36417862, ECO:0000269|PubMed:40146200}. Note=Cytoplasmic in late spermatocytes, secondary spermatocytes and round spermatids. Gathered around metaphase chromosomes during meiotic divisions. {ECO:0000269|PubMed:9578619}.
Traip	Trip	SUBCELLULAR LOCATION: Nucleus, nucleoplasm {ECO:0000250|UniProtKB:Q9BWF2}. Nucleus, nucleolus {ECO:0000250|UniProtKB:Q9BWF2}. Chromosome {ECO:0000269|PubMed:27405720, ECO:0000269|PubMed:33590678}. Cytoplasm {ECO:0000250|UniProtKB:Q9BWF2}. Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:Q9BWF2}. Note=In the nucleus, found in close proximity to PCNA, suggesting localization at replication foci (PubMed:33590678). Localizes to DNA damage sites in response to replication stress (By similarity). {ECO:0000250|UniProtKB:Q9BWF2, ECO:0000269|PubMed:33590678}.
Nobox	Og2x	SUBCELLULAR LOCATION: Nucleus.
Nr3c2	Mlr	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000255|PROSITE-ProRule:PRU00407, ECO:0000269|PubMed:19029984}. Endoplasmic reticulum membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Note=Cytoplasmic and nuclear in the absence of ligand; nuclear after ligand-binding. When bound to HSD11B2, it is found associated with the endoplasmic reticulum membrane (By similarity). {ECO:0000250}.
Sfpq	Psf	SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000250|UniProtKB:P23246}. Nucleus matrix {ECO:0000269|PubMed:21680841}. Cytoplasm {ECO:0000250|UniProtKB:P23246}. Note=Predominantly in nuclear matrix. {ECO:0000250|UniProtKB:P23246}.
H1.8	H1f8 H1foo H1oo	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus. Chromosome. Note=In the germinal vesicle oocyte, localizes to the condensed chromosomes. In the 1-cell embryo found in condensed maternal metaphase chromatin but not in the sperm head. Following second polar body extrusion, detected in the swollen sperm head as well as in the second polar body. Reduced expression in the nucleus in 2-cell embryo is seen as compared to 1-cell embryo.
Pear1	Jedi Megf12	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q5VY43}; Single-pass membrane protein {ECO:0000255}. Cell projection, lamellipodium {ECO:0000250|UniProtKB:Q5VY43}. Note=Detected on the cell surface in resting platelets. {ECO:0000250|UniProtKB:Q5VY43}.
Havcr2	Tim3 Timd3	SUBCELLULAR LOCATION: [Isoform 1]: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}. Cell junction {ECO:0000250|UniProtKB:Q8TDQ0}. Note=Localizes to the immunological synapse between CD8+ T-cells and target cells. {ECO:0000250|UniProtKB:Q8TDQ0}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000269|PubMed:14556006}.
Bsnd		SUBCELLULAR LOCATION: Basolateral cell membrane {ECO:0000269|PubMed:11734858}; Multi-pass membrane protein {ECO:0000255}. Note=Staining in membranes of the renal tubule is basolateral. Also detected in basolateral membranes of intercalated cells of the collecting duct, which are known to express CLCNKB as well. Both acid-secreting alpha-intercalated cells and base-secreting beta-intercalated cells express this protein basolaterally, but intervening AQP2-expressing principal cells appear devoid of protein expression. In the inner ear, colocalizes with CLCNK in K(+)-secreting marginal cells of the stria vascularis. The basolateral staining contrasts with the apical localization of the KCNQ1 K(+) channel. Also found in K(+)-secreting vestibular dark cells, where it colocalized in basolateral membranes with CLCNK below apical membranes that expressed KCNQ1.
Myocd	Bsac2 Mycd Srfcp	SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000269|PubMed:11439182, ECO:0000269|PubMed:15601857}. Note=Nuclear, with a punctate intranuclear pattern with exclusion from nuclei.
Strc		SUBCELLULAR LOCATION: Cell surface. Cell projection, kinocilium. Cell projection, stereocilium.
Ciapin1		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03115}. Nucleus {ECO:0000255|HAMAP-Rule:MF_03115}. Mitochondrion intermembrane space {ECO:0000255|HAMAP-Rule:MF_03115}.
Egln3		SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9H6Z9}. Cytoplasm {ECO:0000250|UniProtKB:Q9H6Z9}. Note=Colocalizes with WDR83 in the cytoplasm. {ECO:0000250|UniProtKB:Q62630}.
Impa2		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:O14732}.
Lpcat3	Grcc3f Mboat5 Oact5	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:18287005}; Multi-pass membrane protein {ECO:0000255}.
Clec2d	Clrb Ocil	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:14990792, ECO:0000269|PubMed:16751398}; Single-pass type II membrane protein {ECO:0000269|PubMed:14990792}.
Vsx1	Rinx	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17919464}.
Acot7	Bach	SUBCELLULAR LOCATION: [Isoform A]: Cytoplasm, cytosol {ECO:0000305|PubMed:15288813}.; SUBCELLULAR LOCATION: [Isoform D]: Cytoplasm, cytosol {ECO:0000305|PubMed:15288813}.
Slc12a5	Kcc2 Kiaa1176	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:11395011}; Multi-pass membrane protein {ECO:0000269|PubMed:11395011, ECO:0000269|PubMed:33597714}. Cell projection, dendrite {ECO:0000269|PubMed:11395011}. Note=Detected on dendrites, but not on axons of spinal cord neurons and at GPHN-positive inhibitory synapses. {ECO:0000269|PubMed:11395011}.
