Gene Names (primary)	Gene Names (synonym)	Subcellular location [CC]
Slc9a6	Nhe6	SUBCELLULAR LOCATION: Endosome membrane {ECO:0000250|UniProtKB:Q92581}; Multi-pass membrane protein {ECO:0000255}. Recycling endosome membrane {ECO:0000269|PubMed:23303939, ECO:0000269|PubMed:24035762}; Multi-pass membrane protein {ECO:0000255}. Early endosome membrane {ECO:0000269|PubMed:23303939, ECO:0000269|PubMed:24035762}; Multi-pass membrane protein {ECO:0000255}. Late endosome membrane {ECO:0000269|PubMed:24035762}; Multi-pass membrane protein {ECO:0000255}. Cell membrane {ECO:0000269|PubMed:17005858}; Multi-pass membrane protein {ECO:0000255}. Note=Present predominantly in the recycling compartments including early and recycling endosomes, but undergoes plasma membrane localization during vesicular recycling, which is enhanced upon certain stimuli, such as hypoxia. {ECO:0000250|UniProtKB:Q92581}.
Tomt	Comt2	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:18953341, ECO:0000269|PubMed:28504928}. Endoplasmic reticulum {ECO:0000269|PubMed:28504928}. Note=Localized to the cell body of the cochlear hair cells, but is not present in the stereocilia. Present but not restricted to the apical cistern, Hensen's body and the subsurface cistern. {ECO:0000269|PubMed:28504928}.
Nlrp1b	Nalp1b	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q2LKW6}.; SUBCELLULAR LOCATION: [NACHT, LRR and PYD domains-containing protein 1b, C-terminus]: Inflammasome {ECO:0000250|UniProtKB:Q2LKW6}.
Pkd2l1	Trpp3	SUBCELLULAR LOCATION: Cell projection, cilium membrane {ECO:0000269|PubMed:24336288, ECO:0000269|PubMed:24336289}; Multi-pass membrane protein {ECO:0000269|PubMed:29567962}. Cell membrane {ECO:0000269|PubMed:15548533, ECO:0000269|PubMed:16891422, ECO:0000269|PubMed:18535624, ECO:0000269|PubMed:19464260, ECO:0000269|PubMed:20406802, ECO:0000269|PubMed:20538909, ECO:0000269|PubMed:21185261, ECO:0000269|PubMed:22420714}; Multi-pass membrane protein {ECO:0000269|PubMed:29567962}. Cytoplasmic vesicle {ECO:0000305|PubMed:20538909}. Note=Interaction with PKD1 or PKD1L3 is required for localization to the cell membrane. {ECO:0000269|PubMed:15548533, ECO:0000269|PubMed:16891422, ECO:0000269|PubMed:20538909, ECO:0000269|PubMed:21185261}.
Cul4b	Kiaa0695	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:24357321}. Nucleus {ECO:0000269|PubMed:24357321}. Note=More concentrated in nuclei than in cytoplasm in germinal vesicle (GV) stage oocytes, zygotes and the 2-cell stage, but distributed in the cytoplasm at the MII-stage oocytes. {ECO:0000269|PubMed:24357321}.
Dhx8		SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q14562}.
Znf335	Zfp335	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:23178126}.
Pabpc1l	Epab	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q4VXU2}.
L3mbtl1	Kiaa0681 L3mbt L3mbtl	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Note=Excluded from the nucleolus. Does not colocalize with the PcG protein BMI1, suggesting that these two proteins do not belong to the same complex (By similarity). {ECO:0000250}.
Arfgef2	Arfgep2 Big2	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Membrane {ECO:0000250}. Golgi apparatus {ECO:0000250}. Cytoplasm, perinuclear region {ECO:0000250}. Golgi apparatus, trans-Golgi network {ECO:0000250}. Endosome {ECO:0000250}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250}. Cell projection, dendrite {ECO:0000250}. Cytoplasmic vesicle {ECO:0000250}. Synapse {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Note=Translocates from cytoplasm to membranes upon cAMP treatment. Localized in recycling endosomes (By similarity). {ECO:0000250}.
Smurf2		SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9HAU4}. Cytoplasm {ECO:0000250|UniProtKB:Q9HAU4}. Cell membrane {ECO:0000250|UniProtKB:Q9HAU4}. Membrane raft {ECO:0000250|UniProtKB:Q9HAU4}. Note=Cytoplasmic in the presence of SMAD7. Colocalizes with CAV1, SMAD7 and TGF-beta receptor in membrane rafts. {ECO:0000250|UniProtKB:Q9HAU4}.
Sppl2c	Imp5	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:30733280, ECO:0000269|PubMed:30733281, ECO:0000269|PubMed:35960805}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q8IUH8}; Lumenal side {ECO:0000269|PubMed:30733280}.
Calcoco2	Ndp52 Ndp52l1	SUBCELLULAR LOCATION: Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:Q13137}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q13137}. Cytoplasmic vesicle, autophagosome membrane {ECO:0000250|UniProtKB:Q13137}; Peripheral membrane protein {ECO:0000305}.
Cdc27		SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P30260}. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:P30260}.
Rnf19b	Ibrdc3 Nklam	SUBCELLULAR LOCATION: Cytoplasmic granule membrane {ECO:0000250|UniProtKB:Q6ZMZ0}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q6ZMZ0}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q6ZMZ0}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q6ZMZ0}.
Cplane2	Gm723 Rsg1	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, cilium basal body {ECO:0000269|PubMed:29038301}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000269|PubMed:29038301}. Note=Localizes at the transition zone, a region between the basal body and the ciliary axoneme. Recruitment to the centriole depends on TTBK2, INTU, and its own GTPase activity. {ECO:0000269|PubMed:29038301}.
Itgb4		SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}. Cell membrane {ECO:0000250}; Lipid-anchor {ECO:0000250}. Cell junction, hemidesmosome {ECO:0000250|UniProtKB:P16144}. Note=Colocalizes with DST at the leading edge of migrating keratinocytes. {ECO:0000250}.
Hivep3	KBP1 Kiaa1555 Krc Rc shn3 Zas3	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11804591}. Nucleus {ECO:0000269|PubMed:11804591}.
Camta1	Kiaa0833	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9Y6Y1, ECO:0000255|PROSITE-ProRule:PRU00767}. Cytoplasm {ECO:0000250|UniProtKB:Q9Y6Y1}.
Chd5	Kiaa0444	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:23318260, ECO:0000269|PubMed:23948251}. Chromosome {ECO:0000269|PubMed:27806305}.
Ptprf	Lar	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
