gen,f_pos,f_neg,d,m_pos,m_neg,jadrowy
Srxn1,0.1159489786132157,0.10101498308361527,0.014933995529600425,0.0,0.0,False
Csnk2a1,0.6544547808573895,0.657000161108426,-0.0025453802510364554,0.3737200089692802,0.39663652229097257,False
Tbc1d20,0.47578402224992805,0.4290317383599162,0.04675228389001185,0.0,0.0,False
Rbck1,0.25175026373837156,0.23699049460286772,0.014759769135503836,0.0,0.0,False
Nrsn2,0.2915507816246284,0.22039632672788786,0.07115445489674052,0.0,0.0,False
Sox12,0.12016879255778268,0.09295956178508136,0.02720923077270132,0.0,0.0,False
Zcchc3,0.13186918576771842,0.12711454809086514,0.004754637676853274,0.0,0.0,False
6820408C15Rik,0.18874076915699625,0.19220235218301918,-0.003461583026022924,0.0,0.0,False
Defb23,0.1049199194399156,0.0955372966006122,0.009382622839303398,0.0,0.0,False
Defb20,0.019468687062434067,0.016916384726921217,0.0025523023355128495,0.0,0.0,False
H13,0.5337105591253477,0.476236507169325,0.05747405195602273,0.253665465983461,0.0,False
Id1,0.11201687925577827,0.0615434187207991,0.05047346053497918,0.0,0.0,False
Cox4i2,0.07854608228637192,0.09022071854357983,-0.01167463625720791,0.0,0.0,False
Bcl2l1,0.8506761292797544,0.8266473336555502,0.024028795624204236,0.8423180592991915,0.8165931732810714,False
Tpx2,0.07240817109427448,0.06847108103753827,0.003937090056736217,0.0,0.0,False
Dusp15,0.6051596815958569,0.6702110520380216,-0.06505137044216469,0.3213264355258507,0.4248720073077985,False
Ttll9,0.12649851347463317,0.14934751087481876,-0.02284899740018559,0.0,0.0,False
Pdrg1,0.37575525079121513,0.3736104398260029,0.0021448109652122405,0.0,0.0,False
Hck,0.06454397237939964,0.05638794908973739,0.008156023289662251,0.0,0.0,False
Tm9sf4,0.6553179246187781,0.6492669566618334,0.006050967956944708,0.36743092298647856,0.3775864673010119,False
Plagl2,0.1368562386112976,0.12195907845980344,0.014897160151494143,0.0,0.0,False
Pofut1,0.4792365972954829,0.41727082326405673,0.06196577403142617,0.0,0.0,False
Kif3b,0.6199290304018413,0.6012566457225713,0.018672384679270015,0.34274746366876885,0.3301092661671013,False
Asxl1,0.8106838016687447,0.819236346060899,-0.00855254439215436,0.7058408328921828,0.777907429015947,False
Nol4l,0.3173491896039129,0.19896890607378767,0.11838028353012522,0.0,0.0,False
Commd7,0.24455739906013235,0.20364105042693734,0.040916348633195015,0.0,0.0,False
Dnmt3b,0.022249928071353217,0.01868857741259868,0.0035613506587545384,0.0,0.0,False
Mapre1,0.3125539464850868,0.3017560818430804,0.010797864642006383,0.0,0.0,False
Bpifb2,0.07001054953486142,0.11164813919768003,-0.04163758966281861,0.0,0.0,False
Cdk5rap1,0.23822767814328186,0.23344610923151282,0.004781568911769035,0.0,0.0,False
Snta1,0.061858636232857006,0.0615434187207991,0.00031521751205790954,0.0,0.0,False
Cbfa2t2,0.8646782391867268,0.8643467053326889,0.00033153385403794644,0.9275577404693442,0.9525397089991189,False
Necab3,0.021290879447587993,0.023844047043660384,-0.0025531675960723914,0.0,0.0,False
Pxmp4,0.2285412870432531,0.23038504913806993,-0.0018437620948168199,0.0,0.0,False
Zfp341,0.3223362424474921,0.29450620267439986,0.02783003977309223,0.0,0.0,False
Chmp4b,0.7495924043348998,0.7167713871435476,0.03282101719135222,0.5552470849528041,0.5148800329523221,False
a,0.31639014098014767,0.2780731432253907,0.038316997754757,0.0,0.0,False
Eif2s2,0.5116524407787475,0.4786531335588851,0.032999307219862384,0.22525059128280212,0.0,False
Ahcy,0.05389853265560564,0.048976961495086194,0.0049215711605194445,0.0,0.0,False
Itch,0.872062913589719,0.8556468503302723,0.016416063259446667,0.9200901688365459,0.8875477056891808,False
Dynlrb1,0.34660017262875226,0.32866118898018365,0.017938983648568607,0.0,0.0,False
Map1lc3a,0.42783159106166685,0.4006766553890769,0.027154935672589975,0.0,0.0,False
Pigu,0.6321089479236597,0.6223618495247302,0.00974709839892951,0.3541452703899139,0.3595440980836299,False
Trp53inp2,0.3555193248297689,0.36797164491702916,-0.012452320087260271,0.0,0.0,False
Ncoa6,0.7024072120456507,0.6837441598195586,0.018663052226092103,0.4523454109558059,0.4368910830529949,False
Ggt7,0.5420542821521052,0.5903012727565652,-0.04824699060446003,0.26076979242724524,0.31626553654448275,False
Acss2,0.6869665292030306,0.7090381826969551,-0.02207165349392448,0.43645251396648044,0.5029169181251257,False
Acss2os,0.12122374604392443,0.12131464475592073,-9.089871199630117e-05,0.0,0.0,False
Gss,0.37412486813081425,0.3694216207507653,0.004703247380048958,0.0,0.0,False
Gssos1,0.05015824302292126,0.050910262606734334,-0.0007520195838130739,0.0,0.0,False
Myh7b,0.02033183082382277,0.022071854357982923,-0.0017400235341601539,0.0,0.0,False
Trpc4ap,0.6210798887503597,0.6030288384082487,0.018051050342110964,0.34010135020236026,0.3320273590543861,False
Edem2,0.2646015152968256,0.23699049460286772,0.02761102069395785,0.0,0.0,False
Procr,0.17809532943320228,0.15176413726437893,0.026331192168823347,0.0,0.0,False
Mmp24,0.9235638246859116,0.8852908007088771,0.03827302397703447,1.29315918789603,1.0697189313507875,False
BC029722,0.052651769444710846,0.04462703399387788,0.008024735450832966,0.0,0.0,False
Eif6,0.14481634218854897,0.12502013855324634,0.01979620363530263,0.0,0.0,False
Uqcc1,0.5581662990313608,0.5261801192202352,0.031986179811125615,0.2800179211469534,0.24805893880385982,False
Cep250,0.17368370576388223,0.07813758659577896,0.09554611916810327,0.0,0.0,False
6430550D23Rik,0.0759566510022058,0.04349927501208313,0.032457375990122675,0.0,0.0,False
Ergic3,0.211086602090726,0.19155791847913645,0.019528683611589548,0.0,0.0,False
Nfs1,0.6109139733384482,0.6096342838730465,0.00127968946540169,0.3346832223300646,0.344044588178628,False
Romo1,0.16994341613119784,0.14274206541002094,0.02720135072117691,0.0,0.0,False
Rbm39,0.987532367891052,0.9898501691638473,-0.002317801272795239,3.2850681019887293,3.1927553478652078,False
Phf20,0.7783638630478565,0.7549540840985983,0.02340977894925822,0.6279237700543154,0.5865790708587517,False
Scand1,0.2950992615325597,0.26260673433220555,0.03249252720035417,0.0,0.0,False
Cnbd2,0.413541766567565,0.38939906557112935,0.024142700996435618,0.0,0.0,False
Epb41l1,0.08573894696461111,0.044465925567907204,0.041273021396703906,0.0,0.0,False
Aar2,0.4205428215210511,0.37618817464153376,0.044354646879517345,0.0,0.0,False
Gm14168,0.01697516064064448,0.011760915095859513,0.005214245544784968,0.0,0.0,False
Dlgap4,0.9909849429366069,0.9954889640728211,-0.004504021136214176,5.0101594900771005,4.821812124665761,False
Gm14174,0.035197084492183756,0.02400515546963106,0.011191929022552696,0.0,0.0,False
Tgif2,0.09974105687158338,0.09875946512002577,0.0009815917515576117,0.0,0.0,False
4930518I15Rik,0.09993286659633643,0.0977928145642017,0.002140052032134729,0.0,0.0,False
1110008F13Rik,0.40011508583485184,0.40003222168519414,8.286414965769096e-05,0.0,0.0,False
Ndrg3,0.7109427447971612,0.6932495569518285,0.017693187845332692,0.46680982167864815,0.4794323520951194,False
Soga1,0.34180492950992614,0.13516996938939907,0.20663496012052707,0.0,0.0,False
Samhd1,0.25606598254531504,0.2680844208152086,-0.012018438269893572,0.0,0.0,False
Rbl1,0.15728397429749688,0.1632028355082971,-0.005918861210800208,0.0,0.0,False
Mroh8,0.16102426393018127,0.1677138714354761,-0.00668960750529482,0.0,0.0,False
Rpn2,0.4767430708736933,0.4601256645722571,0.016617406301436155,0.0,0.0,False
Manbal,0.3770020140021099,0.34380538102142744,0.03319663298068248,0.0,0.0,False
Src,0.27006809245228736,0.2261962300628323,0.04387186238945506,0.0,0.0,False
Gm14286,0.04670566797736645,0.04430481714193652,0.0024008508354299296,0.0,0.0,False
Blcap,0.47731850004795245,0.4187207990977928,0.05859770095015965,0.0,0.0,False
Nnat,0.5415747578402225,0.5031416143064282,0.038433143533794234,0.26139007240505,0.18463470024556417,False
Ctnnbl1,0.4872926057351108,0.532785564685033,-0.045492958949922224,0.0,0.2562656962738968,False
Vstm2l,0.3054569866692241,0.3415498630578379,-0.036092876388613804,0.0,0.0,False
Tti1,0.16572360218663088,0.16497502819397455,0.0007485739926563206,0.0,0.0,False
Rprd1b,0.40232089766951185,0.3945545352021911,0.007766362467320764,0.0,0.0,False
2010009K17Rik,0.0852594226527285,0.08248751409698728,0.0027719085557412204,0.0,0.0,False
Tgm2,0.019085067612927976,0.018527468986628,0.0005575986262999766,0.0,0.0,False
Snhg11,1.0,1.0,0.0,88.95450071920659,91.70858570304212,False
Ralgapb,0.8868322623957035,0.8968906073787659,-0.010058344983062462,0.986225714191788,1.1290823383295228,False
Arhgap40,0.017358780090150572,0.022232962783953602,-0.00487418269380303,0.0,0.0,False
Slc32a1,0.46072695885681403,0.4424037377154825,0.018323221141331503,0.0,0.0,False
Actr5,0.28291934401074137,0.24826808442081522,0.03465125958992615,0.0,0.0,False
Ppp1r16b,0.9949170422940443,0.9979055904623811,-0.0029885481683368242,7.525263384218448,6.553509404285996,False
Dhx35,0.2114702215402321,0.18173030449492508,0.029739917045307013,0.0,0.0,False
Top1,0.9095617147789393,0.9131625584018044,-0.0036008436228650575,1.2603453346216864,1.2591286829513975,False
Plcg1,0.43147597583197467,0.43112614789753506,0.000349827934439606,0.0,0.0,False
Gm27206,0.026277932291167164,0.020782986950217495,0.005494945340949669,0.0,0.0,False
Zhx3,0.5014865253668361,0.4834863863380055,0.01800013902883063,0.18695782231528568,0.0,False
Gm16751,0.01189220293468879,0.012405348799742227,-0.0005131458650534382,0.0,0.0,False
Chd6,0.9342092644097055,0.9602062187852425,-0.02599695437553695,1.4648258688248434,1.8353338472268106,False
Ptprt,0.20283878392634508,0.2017077493152892,0.0011310346110558755,0.0,0.0,False
Srsf6,0.4698379207825837,0.43128725632350573,0.038550664459077955,0.0,0.0,False
L3mbtl1,0.14874844154598638,0.09747059771226035,0.05127784383372602,0.0,0.0,False
Ift52,0.5636328761868227,0.5398743354277429,0.023758540759079794,0.2817377584943934,0.26111705877744995,False
Mybl2,0.046897477702119494,0.043338166586112455,0.00355931111600704,0.0,0.0,False
Tox2,0.02359259614462453,0.007088770742709844,0.01650382540191469,0.0,0.0,True
Oser1,0.1411719574182411,0.13355888512969227,0.007613072288548822,0.0,0.0,False
2900093K20Rik,0.3824685911575717,0.3357499597228935,0.04671863143467819,0.0,0.0,False
Gdap1l1,0.15594130622422556,0.1541807636539391,0.0017605425702864608,0.0,0.0,False
Fitm2,0.13148556631821234,0.12437570484936362,0.007109861468848719,0.0,0.0,False
Ttpal,0.23563824685911575,0.18801353310778154,0.0476247137513342,0.0,0.0,False
Serinc3,0.3160065215306416,0.29257290156275173,0.023433619967889896,0.0,0.0,False
Pkig,0.3339407307950513,0.2651844691477364,0.06875626164731491,0.0,0.0,False
Gm16316,0.04430804641795339,0.03737715482519736,0.006930891592756033,0.0,0.0,False
Rims4,0.8229596240529394,0.7903979378121476,0.03256168624079181,0.7411250277921885,0.6916107614634485,False
Ywhab,0.5406157092164573,0.490736265506686,0.04987944370977132,0.268802752540186,0.0,False
Pabpc1l,0.03049774623573415,0.038827130658933465,-0.008329384423199315,0.0,0.0,False
Tomm34,0.20418145199961638,0.21153536329950057,-0.0073539112998841916,0.0,0.0,False
Stk4,0.4732904958281385,0.46576445948123085,0.0075260363469076275,0.0,0.0,False
Slpi,0.017646494677280137,0.016271951023038505,0.001374543654241632,0.0,0.0,False
Sdc4,0.03375851155653592,0.02722732398904463,0.006531187567491291,0.0,0.0,False
Sys1,0.02320897669511844,0.022716288061865635,0.0004926886332528059,0.0,0.0,False
Gm14302,0.13896614558358109,0.13130336716610277,0.007662778417478311,0.0,0.0,False
Gm20458,0.08516351779035197,0.08732076687610762,-0.0021572490857556526,0.0,0.0,False
Dbndd2,0.5612352546274096,0.6317061382310295,-0.07047088360361986,0.2853311267726196,0.36277888626881916,False
Pigt,0.34640836290399923,0.36587723537941036,-0.019468872475411125,0.0,0.0,False
Wfdc8,0.025798407979284548,0.02787175769292734,-0.002073349713642793,0.0,0.0,False
Dnttip1,0.44116236693200345,0.43902046077009826,0.0021419061619051827,0.0,0.0,False
Gm11457,0.18375371631341708,0.17512485903012728,0.008628857283289798,0.0,0.0,False
Snx21,0.7438381125923085,0.5136136619945223,0.23022445059778618,0.544425087108014,0.23045191620768327,False
Acot8,0.33633835235446435,0.314483647494764,0.02185470485970037,0.0,0.0,False
Zswim3,0.32339119593363386,0.27823425165136134,0.045156944282272515,0.0,0.0,False
Zswim1,0.13743166778555674,0.12582568068309974,0.011605987102457,0.0,0.0,False
Ctsa,0.13282823439148364,0.13468664411148704,-0.0018584097200033955,0.0,0.0,False
Pltp,0.03490936990505419,0.032705010472047685,0.0022043594330065017,0.0,0.0,False
Pcif1,0.27352066749784215,0.2622845174802642,0.01123615001757794,0.0,0.0,False
Zfp335,0.10175505898149036,0.09215401965522797,0.009601039326262384,0.0,0.0,False
Zfp335os,0.3671238131773281,0.33607217657483485,0.03105163660249327,0.0,0.0,False
Mmp9,0.015632492567373167,0.016110842597067826,-0.00047835002969465884,0.0,0.0,False
Slc12a5,0.9213580128512515,0.8691799581118093,0.05217805473944226,1.2061271257990591,0.8823269903826358,False
Ncoa5,0.6754579457178479,0.6178508135975511,0.05760713212029678,0.39878768543627374,0.3504345388281469,False
Cdh22,0.0409513762347751,0.029482841952634124,0.011468534282140976,0.0,0.0,False
Slc35c2,0.12505994053898534,0.09295956178508136,0.03210037875390398,0.0,0.0,False
Elmo2,0.23276110098782007,0.22506847108103753,0.007692629906782544,0.0,0.0,False
Zfp334,0.05418624724273521,0.04462703399387788,0.009559213248857328,0.0,0.0,False
Trp53rka,0.07346312458041623,0.059932334461092314,0.01353079011932392,0.0,0.0,False
Eya2,0.055241200728876956,0.055099081681971966,0.0001421190469049899,0.0,0.0,False
Zmynd8,0.882900163038266,0.8682133075559851,0.01468685548228088,0.98833761612967,0.9659969088098918,False
Gm11465,0.024743454493142802,0.02126631222812953,0.003477142265013271,0.0,0.0,False
Ncoa3,0.3492855087752949,0.32495569518285805,0.024329813592436855,0.0,0.0,False
Sulf2,0.1471180588855855,0.0763653939101015,0.07075266497548399,0.0,0.0,False
Prex1,0.06051596815958569,0.0666988883518608,-0.006182920192275114,0.0,0.0,False
Trp53rkb,0.1842332406252997,0.1632028355082971,0.021030405117002604,0.0,0.0,False
Arfgef2,0.7954349285508775,0.7845980344772031,0.010836894073674386,0.6646726487205052,0.6604583581005218,False
Cse1l,0.5423419967392347,0.5099081681971968,0.03243382854203791,0.26673779674579884,0.2198623661587846,False
