subclass,n,Ebf1_mean,Ebf1_pct,Ebf2_mean,Ebf2_pct,Ebf3_mean,Ebf3_pct,Calb1_mean,Calb1_pct,Calb2_mean,Calb2_pct,Ppp1r17_mean,Ppp1r17_pct,Sorcs3_mean,Sorcs3_pct,Nxph1_mean,Nxph1_pct,Aqp4_mean,Aqp4_pct,Grm1_mean,Grm1_pct,Eomes_mean,Eomes_pct
300 PARN-MDRNd-NTS Gbx2 Gly-Gaba,16,0.42748737,25.0,0.10318398,12.5,1.0487083,50.0,2.5397635,100.0,2.1060638,87.5,0.9829126,68.75,1.1872624,75.0,2.8442626,100.0,2.326675,93.75,1.2877903,68.75,0.0,0.0
223 B-PB Nr4a2 Glut,15,2.5007014,100.0,0.13846563,20.0,1.9320716,80.0,1.7341486,86.66666666666667,2.1878865,80.0,0.3409588,33.33333333333333,1.6971766,86.66666666666667,3.7437959,100.0,1.8683408,93.33333333333333,0.90144163,66.66666666666666,0.13206777,6.666666666666667
192 PPN-CUN-PCG Otp En1 Gaba,14,0.2800672,28.57142857142857,0.22058892,14.285714285714285,1.1243494,42.857142857142854,0.44963315,50.0,0.467522,42.857142857142854,0.0,0.0,1.0585712,85.71428571428571,0.38320145,42.857142857142854,2.0529692,100.0,2.3314319,100.0,0.0,0.0
234 MEV Ppp1r1c Glut,13,2.5197644,92.3076923076923,0.14790176,15.384615384615385,1.030375,69.23076923076923,0.98205,69.23076923076923,1.0738466,69.23076923076923,0.25755346,23.076923076923077,0.20282108,23.076923076923077,1.690834,69.23076923076923,2.4834392,92.3076923076923,0.38312906,38.46153846153847,0.0,0.0
200 PAG-ND-PCG Onecut1 Gaba,11,0.48001146,54.54545454545454,0.0630864,9.090909090909092,2.396608,81.81818181818183,0.6148138,45.45454545454545,0.76052207,54.54545454545454,0.060537744,9.090909090909092,1.8595669,72.72727272727273,2.6686575,100.0,1.7908542,100.0,1.526796,100.0,0.0,0.0
213 SCsg Gabrr2 Gaba,11,0.12714943,9.090909090909092,0.078414984,9.090909090909092,0.18402125,18.181818181818183,0.73802274,63.63636363636363,2.1706173,100.0,0.19992694,18.181818181818183,0.9308746,54.54545454545454,0.7967142,45.45454545454545,3.3591864,100.0,1.5746788,81.81818181818183,0.0,0.0
291 NTS-MDRNd Prox1 Zic1 Gly-Gaba,8,0.27053073,25.0,0.0,0.0,1.5139067,62.5,0.8267491,50.0,2.5853062,87.5,0.48832786,37.5,0.48045403,37.5,2.6261148,100.0,2.7745287,100.0,0.8906263,50.0,0.0,0.0
201 PAG-RN Nkx2-2 Otx1 Gaba,5,0.0,0.0,0.112875536,20.0,0.72806597,40.0,0.41556948,40.0,1.7487942,100.0,0.4282443,60.0,2.5929997,100.0,0.60403836,40.0,2.5843081,100.0,1.395831,100.0,0.0,0.0
292 MV Nkx6-1 Gly-Gaba,5,0.1824023,20.0,2.2625804,100.0,4.2426033,100.0,0.6184595,40.0,3.9766495,80.0,0.0,0.0,0.97784555,60.0,0.9640207,80.0,1.4580785,60.0,2.3724437,80.0,0.0,0.0
297 CU-ECU Pax2 Gly-Gaba,5,1.0168371,60.0,0.18231878,20.0,0.57441705,40.0,0.3501975,40.0,4.972027,100.0,0.22175972,20.0,0.31399855,40.0,0.5524226,20.0,1.6443634,80.0,1.6768459,100.0,0.0,0.0
336 Monocytes NN,5,0.5988458,40.0,0.22552964,20.0,0.0,0.0,1.6774368,100.0,0.1755989,20.0,0.5295628,40.0,0.0,0.0,0.0,0.0,0.9080551,40.0,0.0,0.0,0.0,0.0
166 MRN Pou3f1 C1ql4 Glut,4,0.28085023,25.0,0.0,0.0,0.45011717,50.0,2.4455538,100.0,2.9151556,100.0,0.55368334,50.0,2.7297866,100.0,0.6977987,50.0,3.0096035,100.0,2.1785417,100.0,0.0,0.0
207 SCs Dmbx1 Gaba,4,0.2179685,25.0,0.0,0.0,0.19507205,25.0,0.9153935,75.0,0.7577932,25.0,0.7296274,50.0,0.93727463,75.0,0.7882115,50.0,3.252884,100.0,2.5309944,100.0,0.0,0.0
168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,3,0.35630688,33.33333333333333,0.0,0.0,0.0,0.0,1.1463261,66.66666666666666,3.3662412,100.0,0.6272119,33.33333333333333,2.4971344,100.0,1.4259905,66.66666666666666,3.0955317,100.0,0.77660316,33.33333333333333,0.0,0.0
193 MRN-PPN-CUN Pax8 Gaba,3,0.46019706,33.33333333333333,0.33024764,33.33333333333333,1.5087956,66.66666666666666,1.9687057,66.66666666666666,1.8337222,100.0,0.3227882,33.33333333333333,0.9744057,66.66666666666666,1.2513373,66.66666666666666,2.3704343,100.0,2.2560232,100.0,0.0,0.0
247 MV-SPIV Phox2b Ebf3 Lbx1 Glut,3,0.5451906,33.33333333333333,0.0,0.0,1.1457943,33.33333333333333,0.96009034,66.66666666666666,0.8368595,66.66666666666666,0.0,0.0,1.252294,66.66666666666666,1.7554369,100.0,2.124891,100.0,1.0417767,33.33333333333333,0.0,0.0
281 POR Gata3 Gly-Gaba,3,0.0,0.0,0.21674389,33.33333333333333,0.0,0.0,1.3830191,66.66666666666666,0.36560962,33.33333333333333,0.21674389,33.33333333333333,1.1505085,100.0,4.056699,100.0,2.4788997,100.0,0.0,0.0,0.0,0.0
290 MY Prox1 Lmo7 Gly-Gaba,3,1.6073475,66.66666666666666,0.0,0.0,1.4928528,100.0,0.3056458,33.33333333333333,2.2608852,100.0,0.49103817,33.33333333333333,0.0,0.0,2.5436056,66.66666666666666,2.7716172,100.0,1.409697,66.66666666666666,0.0,0.0
173 PAG Pou4f2 Glut,3,1.7422129,100.0,0.29035467,33.33333333333333,0.74656945,66.66666666666666,2.927821,100.0,2.7615528,100.0,0.28208026,33.33333333333333,3.2408226,100.0,0.0,0.0,4.0443344,100.0,2.5290554,100.0,0.0,0.0
194 MRN-VTN-PPN Pax5 Cdh23 Gaba,3,0.0,0.0,0.7440157,66.66666666666666,0.0,0.0,0.23524177,33.33333333333333,4.1748796,100.0,0.39251783,33.33333333333333,2.093053,100.0,4.6689095,100.0,0.99793863,66.66666666666666,2.5498323,100.0,0.0,0.0
218 PSV Lmx1a Trpv6 Glut,3,1.8663484,100.0,2.6484644,100.0,4.45907,100.0,1.4089304,66.66666666666666,0.75309205,33.33333333333333,0.3203875,33.33333333333333,0.80968267,66.66666666666666,1.208649,100.0,0.9801337,66.66666666666666,2.0943317,100.0,0.0,0.0
171 PAG Pou4f1 Bnc2 Glut,2,2.7297304,100.0,0.7346061,100.0,4.616851,100.0,0.9797267,100.0,4.9808564,100.0,0.36047515,50.0,2.649239,100.0,0.61925155,50.0,2.3765397,100.0,2.4068823,100.0,0.37413093,50.0
196 PAG-PPN Pax5 Sox21 Gaba,2,0.0,0.0,0.0,0.0,0.52081764,50.0,0.38773754,50.0,1.4926872,100.0,0.0,0.0,1.2078443,100.0,3.7572906,100.0,2.263298,100.0,2.2482052,100.0,0.0,0.0
286 PPY-PGRNl Vip Glyc-Gaba,2,0.40995237,50.0,0.0,0.0,2.0268328,50.0,0.40995237,50.0,2.3432422,100.0,0.40995237,50.0,0.0,0.0,1.0109456,50.0,0.40995237,50.0,2.4140043,100.0,0.0,0.0
161 PAG Pou4f3 Glut,2,0.53030145,50.0,1.0364752,100.0,2.3515399,100.0,1.8418477,100.0,2.1430001,100.0,0.0,0.0,2.3433764,100.0,0.0,0.0,2.2468357,100.0,2.6450405,100.0,0.0,0.0
195 SNr-VTA Pax5 Npas1 Gaba,2,0.4912885,50.0,0.3316656,50.0,0.4912885,50.0,3.1806922,100.0,3.4013422,100.0,0.28668532,50.0,2.2266579,100.0,2.1601796,100.0,1.7600307,100.0,2.9319766,100.0,0.0,0.0
257 SPVC Ccdc172 Glut,2,4.0481396,100.0,3.9059658,100.0,5.1121817,100.0,3.747238,100.0,3.2088294,100.0,0.3535576,50.0,0.4297363,50.0,0.3535576,50.0,1.649914,100.0,1.5248171,100.0,0.0,0.0
