names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,subcluster
Kcnq3,24.442924,3.9757128,5.984379530730759e-132,1.0519785277445999e-129,0.6360708534621579,0.10251281410176272,Purkinje_Aldoc_1
Kctd12,24.409758,1.595618,1.3472443859146908e-131,2.34978366527699e-129,0.9017713365539453,0.572321540192524,Purkinje_Aldoc_1
Tmeff2,24.373611,1.0191307,3.2582959260378783e-131,5.595496657599664e-129,0.9951690821256038,0.9826228278534817,Purkinje_Aldoc_1
Prkcd,24.335249,2.1893625,8.306809178768637e-131,1.4156451520306095e-128,0.7697262479871175,0.2592824103012877,Purkinje_Aldoc_1
Colq,24.278652,2.4880867,3.295407075248075e-130,5.573482042038885e-128,0.7278582930756844,0.22127765970746344,Purkinje_Aldoc_1
Ppard,24.26848,1.1906233,4.219929919668413e-130,7.083453793729122e-128,0.9629629629629629,0.8471058882360295,Purkinje_Aldoc_1
Lrfn5,24.196499,0.7587013,2.4217178386396015e-129,4.03469035430068e-127,1.0,0.9962495311913989,Purkinje_Aldoc_1
Gng2,24.153913,2.782339,6.792224016145924e-129,1.123232601188576e-126,0.6956521739130435,0.16533316664583073,Purkinje_Aldoc_1
Lhfp,23.980654,1.7482698,4.4266718583720996e-127,7.266577149864494e-125,0.8518518518518519,0.5571321415176897,Purkinje_Aldoc_1
Cacna1c,23.736778,2.2695055,1.5047750882410602e-124,2.4168420032360912e-122,0.7439613526570048,0.32135266908363547,Purkinje_Aldoc_1
Slc24a2,23.528822,0.95623994,2.0684806610205657e-122,3.2292888641457434e-120,0.9887278582930756,0.9511813976747093,Purkinje_Aldoc_1
Ldlrad4,23.243374,1.0724844,1.6598724503955252e-119,2.520860711229939e-117,0.9549114331723028,0.8777972246530816,Purkinje_Aldoc_1
Ctnnd2,23.201456,0.5419004,4.4015982448755144e-119,6.595012135358782e-117,0.9951690821256038,0.9963745468183522,Purkinje_Aldoc_1
Anks1b,23.079758,0.28136632,7.39508920949102e-118,1.0933467986879936e-115,1.0,1.0,Purkinje_Aldoc_1
Aldoc,22.719397,1.6212332,2.8814411217735163e-114,4.1502047124899197e-112,0.9951690821256038,0.752281535191899,Purkinje_Aldoc_1
Arhgap20,22.313156,0.6504359,2.753638400878137e-110,3.866350773560025e-108,0.9967793880837359,0.9919989998749844,Purkinje_Aldoc_1
Cfap100,22.293507,2.2104304,4.2719310948954295e-110,5.960678855846279e-108,0.7069243156199678,0.30053756719589947,Purkinje_Aldoc_1
Fxyd7,22.246794,4.5421014,1.2115186982601484e-109,1.6695774653492476e-107,0.5539452495974235,0.03831728966120765,Purkinje_Aldoc_1
Pacs1,22.198763,1.8982782,3.5303221780117154e-109,4.8057586965921674e-107,0.7665056360708534,0.39342417802225277,Purkinje_Aldoc_1
Sema4d,22.176746,3.348717,5.759560634812196e-109,7.79286007104135e-107,0.5974235104669887,0.1078884860607576,Purkinje_Aldoc_1
Eda,22.141073,1.8580067,1.2717005694305723e-108,1.7000428270980554e-106,0.8389694041867954,0.5038754844355544,Purkinje_Aldoc_1
Cadm1,22.106432,2.3994145,2.740977426664822e-108,3.5995482970760085e-106,0.7085346215780999,0.29703712964120516,Purkinje_Aldoc_1
Clstn2,22.093908,0.87965816,3.6170026391445516e-108,4.722197889994276e-106,0.9951690821256038,0.9738092261532691,Purkinje_Aldoc_1
Col27a1,21.896631,6.0132732,2.7971197274794416e-106,3.6305638323243334e-104,0.5297906602254429,0.019689961245155645,Purkinje_Aldoc_1
Sept4,21.84737,1.401543,8.234153237365566e-106,1.0625865377120593e-103,0.8776167471819646,0.6661457682210277,Purkinje_Aldoc_1
Ptprn,21.624916,1.3860844,1.0470578862883105e-103,1.3434234087003755e-101,0.8969404186795491,0.6258282285285661,Purkinje_Aldoc_1
Myt1l,21.54236,1.1745405,6.244259084951447e-103,7.965890518373775e-101,0.9162640901771336,0.7320290036254532,Purkinje_Aldoc_1
Hs6st3,14.431711,4.673154,3.26871465166821e-47,3.947093908955693e-43,0.9866666666666667,0.3132857833655706,Purkinje_Aldoc_2
Syt1,14.408867,5.504407,4.551171838096096e-47,3.947093908955693e-43,0.9733333333333334,0.23029497098646035,Purkinje_Aldoc_2
Zbtb20,14.398289,3.4065704,5.304045566345836e-47,3.947093908955693e-43,0.9866666666666667,0.8445357833655706,Purkinje_Aldoc_2
Ankrd6,14.052045,4.721241,7.48411219931373e-45,3.753174017312436e-41,0.9733333333333334,0.21282640232108319,Purkinje_Aldoc_2
Cadm1,14.043819,4.1482577,8.405764876399633e-45,3.753174017312436e-41,0.9733333333333334,0.30941731141199225,Purkinje_Aldoc_2
Gng2,13.41352,3.8857381,5.038940760260778e-41,1.6070621781831694e-37,0.96,0.18163684719535783,Purkinje_Aldoc_2
Lsamp,12.800781,1.8818691,1.6230971633599178e-37,2.787357244000782e-34,1.0,0.9792674081237911,Purkinje_Aldoc_2
Nav2,12.36842,3.318594,3.873668039593903e-35,6.177117070280992e-32,0.9333333333333333,0.3977877176015474,Purkinje_Aldoc_2
St6galnac5,12.289322,3.2973368,1.0336952868662351e-34,1.53848315195258e-31,0.9333333333333333,0.1705754352030948,Purkinje_Aldoc_2
Npas3,11.758359,2.5009873,6.396528482178452e-32,7.933472131368552e-29,0.96,0.5566972920696325,Purkinje_Aldoc_2
Zeb2,11.485436,4.0163593,1.5614568871164264e-30,1.6599773811844865e-27,0.8266666666666667,0.07120406189555126,Purkinje_Aldoc_2
Tmtc2,11.39804,2.1040483,4.276391920394302e-30,4.3395658919455815e-27,0.9733333333333334,0.8102635396518375,Purkinje_Aldoc_2
Synpo2,10.991984,2.6758971,4.17643086819558e-28,3.586108428171782e-25,0.9066666666666666,0.24492263056092844,Purkinje_Aldoc_2
